split,doc_id,severity,kind,item_id,surface_or_technique,normalized_id,evidence_preview,previous_basis,decision,adjudication_basis,reviewer,review_date
dev,aa20-259a-iran-citrix-vpn-cve-19781,review,exploited_by_boundary_recertification_required,R4,T1190,,"T1190
Exploit Public-Facing Application
The threat actor primarily gained initial access by compromising a Citrix NetScaler remote access server using a publicly available exploit for CVE-2019-19781.",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa20-259a-iran-citrix-vpn-cve-19781/R4 directly binds CVE-2019-19781 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
dev,aa22-074a,review,exploited_by_boundary_recertification_required,R2,T1068,,"Using the compromised account, Russian state-sponsored cyber actors performed privilege escalation [
TA0004
] via exploitation of the “PrintNightmare” vulnerability (
CVE-2021-34527
) [
T1068
] to obtain administrator privileges.",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa22-074a/R2 directly binds CVE-2021-34527 to T1068 as the exploit behavior,expert_adjudicator,2026-09-14
dev,aa22-228a,blocking,weakness_without_local_explicit_cwe,E10,cross-site scripting,CWE-79," Based on industry reporting, a malicious cyber actor is selling a cross-site scripting (XSS) exploit kit for the ZCS vulnerability to CVE-2022-30333.",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
dev,aa22-228a,blocking,weakness_without_local_explicit_cwe,E46,authentication bypass,CWE-288, CVE-2022-37042 is an authentication bypass vulnerability that affects ZCS releases 8.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
dev,aa22-228a,blocking,weakness_without_local_explicit_cwe,E49,directory traversal,CWE-22, CVE-2022-30333 CVE-2022-30333 is a high-severity directory traversal vulnerability in RARLAB UnRAR on Linux and UNIX allowing a malicious actor to write to files during an extract (unpack) operation.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
dev,aa22-228a,blocking,weakness_without_local_explicit_cwe,E54,cross-site scripting (XSS),CWE-79,"15 patch 30 (update 1), which contain a cross-site scripting (XSS) vulnerability allowing malicious actors to steal session cookie files.",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
dev,aa22-228a,blocking,weakness_without_local_explicit_cwe,E8,path traversal,CWE-22,0 patch 25 GA release [8] Zimbra UnRAR path traversal [9] Operation EmailThief: Active exploitation of zero-day XSS vulnerability in Zimbra [10] Hotfix available 5 Feb for zero-day exploit vulnerability in Zimbra 8.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
dev,aa22-228a,blocking,weakness_without_local_explicit_cwe,E9,directory traversal,CWE-22, An authenticated user has the ability to upload arbitrary files to the system thereby leading to directory traversal.,,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
dev,aa23-213a,review,exploited_by_boundary_recertification_required,R11,T1190,,NCSC-NO observed the actors exploiting CVE-2023-35078 to obtain initial access to EPMM devices [T1190],verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-213a/R11 directly binds CVE-2023-35078 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
dev,aa23-213a,review,exploited_by_boundary_recertification_required,R3,T1190,,Exploit Public- Facing Application T1190 The APT actors exploited CVE-2023-35078 in public facing Ivanti EPMM appliances since at least April 2023.,verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; same sentence or self-contained clause with an explicit exploitation predicate; aa23-213a/R3 directly binds CVE-2023-35078 to T1190 as the exploit behavior,expert_adjudicator,2026-09-14
dev,aa24-109a,blocking,weakness_without_local_explicit_cwe,E158,Common Weakness Enumeration (CWE)-200,CWE-200,"Common Weakness Enumeration (CWE)-200: Exposure of Sensitive Information to an Unauthorized Actor
",,REJECT,rejected under chapter3-boundary-sync-v1: descriptive weakness phrase lacks a locally explicit CWE in the source fact block; archived in data/annotations/quarantine/chapter3-boundary-sync-v1/rejected_items.json,expert_adjudicator,2026-09-14
dev,aa24-109a,review,exploited_by_boundary_recertification_required,R12,T1068,,"After tunneling through a targeted router, Akira threat actors exploit publicly available vulnerabilities, such as those found in the Veeam Backup and Replication component of unpatched Veeam backup servers [
T1068
] (
CVE-2023-27532
 and 
CVE-2024-40711
).",verified single-endpoint factual clause,ACCEPT,chapter3-boundary-sync-v1; explicit governing list scope with an explicit exploitation predicate; aa24-109a/R12 directly binds CVE-2023-27532 to T1068 as the exploit behavior,expert_adjudicator,2026-09-14
